transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ind_0100_00000	ind_0100_00000	51	0	0	0	0	NA	NA	NA
ind_0100_00001	ind_0100_00001	51	0	0	0	0	NA	NA	NA
ind_0100_00002	ind_0100_00002	51	0	0	0	0	NA	NA	NA
ind_0100_00003	ind_0100_00003	51	0	0	0	0	NA	NA	NA
ind_0100_00004	ind_0100_00004	51	0	0	0	0	NA	NA	NA
ind_0100_00005	ind_0100_00005	51	0	0	0	0	NA	NA	NA
ind_0100_00006	ind_0100_00006	51	0	0	0	0	NA	NA	NA
ind_0100_00007	ind_0100_00007	51	0	0	0	0	NA	NA	NA
ind_0100_00008	ind_0100_00008	51	0	0	0	0	NA	NA	NA
ind_0100_00009	ind_0100_00009	51	0	0	0	0	NA	NA	NA
ind_0100_00010	ind_0100_00010	51	0	0	0	0	NA	NA	NA
ind_0100_00011	ind_0100_00011	51	0	0	0	0	NA	NA	NA
ind_0100_00012	ind_0100_00012	51	0	0	0	0	NA	NA	NA
ind_0100_00013	ind_0100_00013	51	0	0	0	0	NA	NA	NA
ind_0100_00014	ind_0100_00014	51	0	0	0	0	NA	NA	NA
ind_0100_00015	ind_0100_00015	51	0	0	0	0	NA	NA	NA
ind_0100_00016	ind_0100_00016	51	0	0	0	0	NA	NA	NA
ind_0100_00017	ind_0100_00017	51	0	0	0	0	NA	NA	NA
ind_0100_00018	ind_0100_00018	51	0	0	0	0	NA	NA	NA
ind_0100_00019	ind_0100_00019	51	0	0	0	0	NA	NA	NA
ind_0100_00020	ind_0100_00020	51	0	0	0	0	NA	NA	NA
ind_0100_00021	ind_0100_00021	51	0	0	0	0	NA	NA	NA
ind_0100_00022	ind_0100_00022	51	0	0	0	0	NA	NA	NA
ind_0100_00023	ind_0100_00023	51	0	0	0	0	NA	NA	NA
ind_0100_00024	ind_0100_00024	51	0	0	0	0	NA	NA	NA
ind_0100_00025	ind_0100_00025	51	0	0	0	0	NA	NA	NA
ind_0100_00026	ind_0100_00026	51	0	0	0	0	NA	NA	NA
ind_0100_00027	ind_0100_00027	51	0	0	0	0	NA	NA	NA
ind_0100_00028	ind_0100_00028	51	0	0	0	0	NA	NA	NA
ind_0100_00029	ind_0100_00029	51	0	0	0	0	NA	NA	NA
ind_0100_00030	ind_0100_00030	51	0	0	0	0	NA	NA	NA
ind_0100_00031	ind_0100_00031	51	0	0	0	0	NA	NA	NA
ind_0100_00032	ind_0100_00032	51	0	0	0	0	NA	NA	NA
ind_0100_00033	ind_0100_00033	51	0	0	0	0	NA	NA	NA
ind_0100_00034	ind_0100_00034	51	0	0	0	0	NA	NA	NA
ind_0100_00035	ind_0100_00035	51	0	0	0	0	NA	NA	NA
ind_0100_00036	ind_0100_00036	51	0	0	0	0	NA	NA	NA
ind_0100_00037	ind_0100_00037	51	0	0	0	0	NA	NA	NA
ind_0100_00038	ind_0100_00038	51	0	0	0	0	NA	NA	NA
ind_0100_00039	ind_0100_00039	51	0	0	0	0	NA	NA	NA
ind_0100_00040	ind_0100_00040	51	0	0	0	0	NA	NA	NA
ind_0100_00041	ind_0100_00041	51	0	0	0	0	NA	NA	NA
ind_0100_00042	ind_0100_00042	51	0	0	0	0	NA	NA	NA
ind_0100_00043	ind_0100_00043	51	0	0	0	0	NA	NA	NA
ind_0100_00044	ind_0100_00044	51	0	0	0	0	NA	NA	NA
ind_0100_00045	ind_0100_00045	51	0	0	0	0	NA	NA	NA
ind_0100_00046	ind_0100_00046	51	0	0	0	0	NA	NA	NA
ind_0100_00047	ind_0100_00047	51	0	0	0	0	NA	NA	NA
ind_0100_00048	ind_0100_00048	51	0	0	0	0	NA	NA	NA
ind_0100_00049	ind_0100_00049	51	0	0	0	0	NA	NA	NA
